Model,Website,Product,Brand,MSRP,URL
Ventus 3070,BestBuy,3070,MSI,749.99,https://www.bestbuy.com/site/msi-nvidia-geforce-rtx-3070-ventus-3x-oc-bv-8gb-gddr6-pci-express-4-0-graphics-card/6438278.p?skuId=6438278
Aorus 3070,BestBuy,3070,GigaByte,649.99,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3070-aorus-master-8gb-gddr6-pci-express-4-0-graphics-card/6439384.p?skuId=6439384
XC3 3070,BestBuy,3070,EVGA,629.99,https://www.bestbuy.com/site/evga-geforce-rtx-3070-xc3-ultra-gaming-8gb-gddr6-pci-express-4-0-graphics-card/6439299.p?skuId=6439299 
Strix 3070,BestBuy,3070,ASUS,699.99,https://www.bestbuy.com/site/asus-nvidia-geforce-rog-strix-rtx3070-8gb-gddr6-pci-express-4-0-graphics-card-black/6439127.p?skuId=6439127
TUF 3070,BestBuy,3070,ASUS,649.99,https://www.bestbuy.com/site/asus-nvidia-geforce-tuf-rtx3070-8gb-gddr6-pci-express-4-0-graphics-card-black/6439128.p?skuId=6439128
Gaming 3070,BestBuy,3070,GigaByte,599.99,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3070-gaming-oc-8gb-gddr6-pci-express-4-0-graphics-card/6437909.p?skuId=6437909
Ventus 3060,BestBuy,3060,MSI,499.99,https://www.bestbuy.com/site/msi-nvidia-geforce-rtx-3060-ventus-3x-12g-oc-12gb-gddr6-pci-express-4-0-graphics-card-black/6452940.p?skuId=6452940
XC 3060,BestBuy,3060,EVGA,389.99,https://www.bestbuy.com/site/evga-nvidia-geforce-rtx-3060-xc-gaming-12gb-gddr6-pci-express-4-0-graphics-card/6454328.p?skuId=6454328
DUAL 3070,ASUS,3070,ASUS,669.99,https://store.asus.com/us/item/202011AM070000003/graphicscards-ASUS-DUAL-NVIDIA-GeForce-RTX-3070-Gaming-Graphics-Card-%28PCIe-4.0%2C-8GB-GDDR6-memory%2C-HDMI-2.1%2C-DisplayPort-1.4a%2C-Axial-tech-Fan-Design%2C-Dual-BIOS%2C-Protective-Backplate%2C-GPU-Tweak-II%29
Strix 3070,ASUS,3070,ASUS,779.99,https://store.asus.com/us/item/202010AM310000001/A50243-ASUS-ROG-STRIX-NVIDIA-GeForce-RTX-3070-Gaming-Graphics-Card-%28PCIe-4.0%2C-8GB-GDDR6%2C-HDMI-2.1%2C-DisplayPort-1.4a%2C-Axial-tech-Fan-Design%2C-2.9-slot%2C-Super-Alloy-Power-II%2C-GPU-Tweak-II%29
Strix 3070 White,ASUS,3070,ASUS,819.99,https://store.asus.com/us/item/202101AM070000001/A50243-ASUS-ROG-STRIX-NVIDIA-GeForce-RTX%E2%84%A2-3070-White-OC-Edition-Gaming-Graphics-Card-%28PCIe-4.0%2C-8GB-GDDR6%2C-HDMI-2.1%2C-DisplayPort-1.4a%2C-White-color-scheme%2C-Axial-tech-Fan-Design%2C-2.9-slot%2C-Super-Alloy-Power-II%29
XC 3060,Amazon,3060,EVGA,389.99,https://www.amazon.com/EVGA-GeForce-12G-P5-3657-KR-Dual-Fan-Backplate/dp/B08WM28PVH/ref=sr_1_1?dchild=1&keywords=EVGA+3060&qid=1615747037&refinements=p_89%3AEVGA&rnid=2528832011&s=electronics&sr=1-1
Ventus 3060,Amazon,3060,MSI,469.99,https://www.amazon.com/MSI-GeForce-RTX-3060-12G/dp/B08WPRMVWB/ref=sr_1_3?crid=3LU38JA42Y865&dchild=1&keywords=msi+rtx+3080+ventus+3x+oc&qid=1615747233&refinements=p_89%3AMSI%2Cp_n_condition-type%3A2224371011&rnid=2224369011&s=electronics&sprefix=msi+rtx+3080+ventus%2Celectronics%2C167&sr=1-3
XC 3060 Ti,Amazon,3060Ti,EVGA,459.99,https://www.amazon.com/dp/B08R876RTH
Ventus 3060 Ti,BestBuy,3060Ti,MSI,579.99,https://www.bestbuy.com/site/msi-nvidia-geforce-rtx-3060-ti-ventus-2x-oc-bv-8gb-gddr6-pci-express-4-0-graphics-card-black/6441172.p?skuId=6441172
Ventus 3060 Ti,Amazon,3060Ti,MSI,579.99,https://www.amazon.com/dp/B08PVYP914
